jobId,title,companyName,Industry,Clean_City,tagsAndSkills,minimumExperience,minimumSalary,maximumSalary,midSalary
260925029699,Business Analyst,Vision Beyond Resources India,Other,Hyderabad,"Business Analyst,Regulatory Affairs,Pharma,acumulus,Veeva,Confluence,JIRA,Regulatory",12,3500000.0,4000000.0,3750000.0
260925025850,"Data Analyst -Excel,Power Query,VBA,Macros and Tableau",Ifinsol Global,Other,Hybrid - Hyderabad,"Excel,VBA,Tableau,Macros,Power Query,Data,Data analysis,Query",3,0.0,0.0,
300925023589,Servicenow Business Analyst,Prodapt Solutions,IT/Tech,Pune,"ITSM,CSM,Secops,Hrsd,GRC,Itom,Servicenow,Business analysis",4,0.0,0.0,
300525037508,Senior Private Credit Analyst,Vichara Technologies,IT/Tech,Hybrid - Pune,"Financial Reporting,Credit Underwriting,Modeling,private credit,Credit Risk,Cfa Level 1,Power Bi,Portfolio Monitoring",7,2500000.0,4000000.0,3250000.0
290925500866,Incident and Request Analyst,Lektronix,Other,Pune,"Automation,MIS,Service desk,IT support,Agile,Data analytics,Asset management,Customer experience",5,0.0,0.0,
290925500662,Incident and Request Analyst,Kalypso It Solutions,IT/Tech,Pune,"Automation,MIS,Service desk,IT support,Agile,Data analytics,Asset management,Customer experience",5,0.0,0.0,
260925023413,Data Analyst (Location - All Over India),SRS Infoway,IT/Tech,Hybrid - Pune,"Python,Bigquery,Snowflake,SCALA,Tableau,Domo,SQL,Data",6,0.0,0.0,
260925013236,Business Analyst,Purview Services,Staffing/HR Services,Hybrid - Hyderabad,"Business Analytics,Cyber Security,Business Modeling,Bau Support,Data Analysis,Process Management,Data Visualization,Quality Assurance",7,0.0,0.0,
120825018933,Business System Analyst,Crescendo Global Leadership Hiring India,Other,Pune,"Requirement gathering,Azure Data Factory,Power BI,Databricks,Pyspark/Python,Brd,FRD,SQL",5,0.0,0.0,
270925000026,Cloud Security Analyst,Rubis Software Solutions Pvt Ltd,IT/Tech,Hyderabad,"JupiterOne,Cloud Security,DevSecOps,AWS Security,PowerShell,Azure,Cyber Security,Nexus",7,0.0,0.0,
51124006237,Quality Analyst (AR Calling),Vee Healthtek,Healthcare,Mohali,"US Healthcare,Medical Billing,quality analyst,Authorization,Revenue Cycle Management,AR Calling,RCM,Medical",3,350000.0,700000.0,525000.0
300925504656,Analyst - User Experience,Mro Corp,Other,Pune,"Manager Quality Assurance,Front end,Javascript,Agile,Healthcare,HTML,Adobe,Stakeholder management",3,0.0,0.0,
300925502777,Data Analyst,Mhtechin,IT/Tech,Pune,"Computer science,Data analysis,PDF,Analytical,Data quality,Internship,Analytics,Product marketing",2,0.0,0.0,
300925502497,Lead Support Analyst,Clsa,Other,Pune,"VMware,SAN,Automation,Project management,Disaster recovery,RHEL,Information technology,Monitoring",4,0.0,0.0,
300925500990,Business Analyst,Diverse Lynx,Other,Pune,"Business Analyst,Business analysis,Analytical,Mobile banking,Retail banking,Agile,JSON,JIRA",6,0.0,0.0,
300925500273,"Support Analyst, FIX Connectivity, Information Technology",Clsa,Other,Pune,"Order management,Trade,Front office,Bloomberg,Testing tools,Management systems,Oracle,Information technology",3,0.0,0.0,
300925030504,CRM - Global Business Analyst,Lubrizol,Other,Pune,"python,data analysis,analytical,business management,ms dynamics crm,bi,verbal communication,power bi",3,0.0,0.0,
300925030474,Data Analyst,Lubrizol,Other,Pune,"python,development,data analysis,analytical,documentation,presentation skills,verbal communication,microsoft azure",3,0.0,0.0,
300925029609,Senior Analyst-Optimization,Sakon,Other,Hybrid - Pune,"Financial Analysis,Invoice Management,Cost Optimization,Cost Analysis,Cost Control,Financial Control,Client Satisfaction,Control",3,0.0,0.0,
300925029547,Business Analyst,Cross Country Infotech,IT/Tech,Hybrid - Pune,"Scrum Agile Development Methodology,Product Management,Requirement Gathering,Business Analysis,Product Planning,Development,Requirements,Scrum",7,0.0,0.0,
300925029264,UX Research Analyst,Skillventory,Other,Pune,"Ux Research,Insights,Google Analytics,Behavioral Data,Usability Testing,Data Insights,VOC,User Research",7,0.0,0.0,
300925029231,Business Analyst - Urgent Requirement - WFH,Optimeyes Ai,Other,Remote,"Figma,Requirement Gathering,Technical Documentation,Requirements Management,Business Requirement Analysis,Use Cases,Brd,Requirement Anaalysis",4,300000.0,800000.0,550000.0
300925028787,Senior Business Analyst,Pixelcode Technologies India,IT/Tech,Remote,"Business Analysis,API,Python,Senior,Analysis",8,0.0,0.0,
300925026809,Fraud Analyst,Manning Consulting,IT/Tech,Hybrid - Pune,"Advanced Excel,Fraud,Powerpoint,Power Bi,Risk Analytics,Data Analysis,Dashboard,Data trends",3,600000.0,900000.0,750000.0
300925022065,Technical Analyst-CRM,Peoplefy Infosolutions,IT/Tech,Hybrid - Pune,"Dynamics,.Net,Power Platform,Dynamic,Technical",4,0.0,0.0,
300925014479,Quality Analyst - Operations,Blucognition,Other,Pune,"Quality Audit,Quality Analysis,Performance Reporting,Operations,Quality Monitoring,Feedback,Quality,Reporting",3,0.0,0.0,
300925011759,SOC Analyst L3,Innspark Solutions,IT/Tech,Pune,"Soar,Edr,SIEM,Threat Intelligence,Intrusion Detection,Technical Documentation,SOC,Ueba",5,1600000.0,2000000.0,1800000.0
300925000267,Manual Tester or Quality Analyst,Digital Convergence Technologies,IT/Tech,Remote,"Regression Testing,System Integration Testing,Software Testing,API Testing,Functional Testing,User Acceptance Testing,manual testing,UAT",3,600000.0,1000000.0,800000.0
290925915449,Business Analyst  Treasury Domain,FIS,Other,Pune,"presentation skills,quantum,capital market,treasury,web application testing,python,c++,data analysis",2,0.0,0.0,
290925914518,Market Research Analyst,Evnek,Other,Pune,"Market Research,Trend Identification,Pricing Analysis,Risk Assessment,Data Analysis,SQL Server,Business Writing,B2B Research",3,0.0,0.0,
290925909346,Udemy - Sr Data Analyst - Tableau & Databricks,Jade Global,Other,Pune,"oracle,performance tuning,plsql,sql,ebs,data conversion,sql development,design documents",4,0.0,0.0,
290925902744,"Managed Service Operations Analyst - TAM , CLO/CDO",FIS,Other,Pune,"data analysis,structured finance,clo,client servicing,vba,service operations,software testing,service management",7,0.0,0.0,
290925902653,MDM Analyst - Master Data Management,Golden Opportunities,Other,Pune,"Master Data Management,Collibra,SAP MDG,MDM,Big Data,Masterdata management,Talend,informatica",2,0.0,0.0,
290925503335,Senior Analyst - Software Engineering,Mro Corp,Other,Pune,"Computer science,Version control,GIT,Coding,Postgresql,Software development life cycle,System design,Monitoring",5,0.0,0.0,
290925503243,Analyst,N Consulting Global,IT/Tech,Pune,"Automation,Test scripts,Test reporting,appium,Consulting,Infrastructure,Regression testing,Selenium",6,0.0,0.0,
290925503066,Data Analyst - Client Data Integration,Assent,Other,Pune,"ERP,Data analysis,SAP,XML,Oracle,SSIS,SQL,CRM",2,0.0,0.0,
290925502958,Data Science Analyst,Avivys Consulting Services,IT/Tech,Pune,"Data Science Analyst,Science,Data,Data analysis,Data Science",5,0.0,0.0,
290925502713,Data Analyst,Tudip Technologies,IT/Tech,Pune,"Automation,Data analysis,Manager Quality Assurance,Analytical,Data collection,Data quality,microsoft,Recruitment",2,0.0,0.0,
290925502442,Analyst,Natobotics Technologies,IT/Tech,Pune,"Automation,Test scripts,Test reporting,appium,Infrastructure,Regression testing,Selenium,IOS",6,0.0,0.0,
290925500696,Senior ETL Support Analyst,Integrichain,Other,Pune,"Ticketing,Change management,Automation,Manual testing,Postgresql,MySQL,Informatica,Stored procedures",2,0.0,0.0,
290925500660,Workday Analytics Operations Analyst,Workday Inc,Other,Pune,"Data analysis,Analytical,Consulting,Troubleshooting,Operations,Information technology,Analytics,Monitoring",5,0.0,0.0,
290925027443,Threat Hunter Analyst,GRUVE TECHNOLOGIES INDIA PRIVATE LIMITED,IT/Tech,Pune,"security operations,threat analysis,soc,chfi,ceh,siem,gcih,incident response",4,0.0,0.0,
290925020388,Bi Reporting Analyst,Systems Plus,IT/Tech,Remote,"Tableau Development,MS Copilot,Tableau Pulse,Bex Reporting,Development,Bi,Microsoft,Tableau",2,700000.0,1700000.0,1200000.0
290925018513,Business Analyst,Ecotech It Solutions,IT/Tech,Pimpri-Chinchwad,"Figma,VISIO,MS.NET,SQL,Stakeholder Management,Business analysis,Management",5,0.0,0.0,
290925015006,Incident Response Analyst,GRUVE TECHNOLOGIES INDIA PRIVATE LIMITED,IT/Tech,Pune,"threat analysis,digital forensics,phishing,soc,siem tools,packet capture,threat detection,information security",4,0.0,0.0,
290925011470,Senior Analyst - Accounting and FP&A,Rubyworks,Other,Pune,"Uk Accounting,SAGE,Book Keeping,Advanced Excel,Profit And Loss,Balance Sheet,Uk,Balance",4,0.0,0.0,
